G547N;G547T;G659N;G659T;G691N;G691T;G696N;G696T;G761N;G761T;G220N;G220T;G871N;G871T;G701N;G701T;G576N;G576T;G652N;G652T;G699N;G699T;G850N;G850T;G013N;G013T;G603N;G603T;G026N;G026T;G575N;G575T;G613N;G613T;G702N;G702T;G623N;G623T;G645N;G645T;G529N;G529T;G648N;G648T;G601N;G601T;G727N;G727T;G001N;G001T;G243N;G243T;G531N;G531T;G612N;G612T;G428N;G428T
865;3343;6692;1464;1456;5342;588;434;4513;34;667;2520;10167;3996;4113;687;810;4990;5505;5193;9;1502;1962;2390;2610;1780;5008;1030;580;3459;6731;314;3671;1512;3276;447;4910;2744;5876;37;3877;3174;7516;116;4930;1722;3755;68;267;12121;56824;14398;16115;39196;5293;198;38;1422
3;12;73;12;6;32;2;0;199;4;7;88;173;22;30;1;12;99;30;15;0;18;10;19;105;58;71;18;21;732;738;42;1051;98;476;5;568;184;643;;175;648;767;4;48;212;76;6;3;2;237;80;103;164;100;18;14;1
975;4217;24286;2536;1759;4551;508;980;6162;102;918;6996;18110;5404;8862;995;2790;41617;4912;5152;33;3398;1455;2220;12481;12729;21641;3030;8320;108332;43582;938;33730;5685;40209;654;80226;15489;55768;99;31744;102358;71032;184;5486;28274;6932;401;1162;14471;59593;24097;15126;73139;5949;669;103;2492
15;8;119;8;11;29;3;5;116;2;12;49;233;24;40;3;18;148;27;14;0;5;17;16;180;54;288;4;63;308;468;12;479;51;396;8;470;106;686;;129;334;673;1;65;189;83;5;18;34;430;115;155;230;64;4;194;15
828;519;6413;297;713;673;339;749;2002;28;303;2839;3294;4118;5929;999;1251;4664;2973;1274;23;168;476;584;1816;2210;3278;1697;573;5775;4670;130;2203;762;3096;157;5162;974;4537;34;3217;1711;5675;22;1411;3127;3477;199;371;3186;37225;1454;10206;5883;2966;167;25;321
0;0;1;0;0;0;0;0;3;0;;2;3;0;0;0;0;3;0;0;0;0;0;0;0;3;3;0;0;8;20;;2;;6;;1;1;18;;6;4;11;;1;2;5;;1;;4;1;;1;;;;
71;398;1890;285;188;169;47;13;719;2;35;84;1425;109;507;40;98;6649;364;248;1;276;204;822;621;3978;1078;32;1447;2618;3154;11;2124;1885;1684;197;5535;8359;2000;1;12669;2909;4874;6;380;2360;365;3;25;529;5420;2849;938;4937;362;21;96;154
3;1;41;1;8;2;2;2;38;;20;21;77;26;19;5;24;15;8;2;0;2;18;2;88;13;187;6;36;74;287;0;222;20;242;4;294;15;264;0;73;95;250;4;40;35;51;21;7;14;265;26;61;18;26;2;1;
169;244;5801;58;308;512;121;299;1912;20;95;1342;2943;1631;1089;160;151;2374;788;556;9;268;204;220;3255;990;5768;927;1319;9895;11765;98;8011;278;9964;36;21923;1026;13716;172;4659;10326;14414;312;972;812;1498;38;33;4250;9734;942;2755;2388;733;69;4;25
0;0;7;0;1;3;0;0;14;;1;4;4;1;9;3;1;6;1;1;0;1;1;;10;1;22;2;3;38;68;0;65;0;38;1;42;1;84;0;8;53;78;2;5;2;5;;;1;20;2;15;7;3;;;
569;1739;14486;627;1134;5631;358;117;4252;24;402;736;8014;1209;5765;400;192;16395;3497;5287;1;1103;1148;1619;5662;3569;6324;341;2699;20389;23502;152;24312;3745;17660;312;37513;11095;12618;5;19134;26601;28917;58;3860;1905;2423;35;53;7172;40307;6143;7986;10385;2260;52;19;310
1;3;18;6;8;8;0;0;45;0;4;14;35;3;11;1;1;28;1;6;0;4;1;9;25;14;31;3;11;105;277;5;302;60;97;8;205;71;147;0;39;139;167;1;8;90;27;1;;;82;35;26;40;21;5;2;
0;0;3;1;1;2;0;0;7;0;;5;4;0;6;2;1;7;2;;0;0;0;0;7;5;3;0;2;38;24;0;41;6;16;1;17;10;20;0;8;41;47;;2;3;1;;;;11;4;10;8;5;;3;1
447;737;4062;253;493;3889;124;61;1045;24;57;197;2086;203;1704;117;173;4141;1922;3760;8;604;421;274;2392;1305;1295;37;832;6886;4097;22;6926;1483;5677;104;8095;4956;3468;9;5823;8571;7199;8;1323;734;610;5;36;1407;17986;1463;2678;3444;455;13;126;2081
0;1;4;;1;5;0;1;2;0;;5;2;0;2;0;;2;2;;0;2;0;0;2;0;6;0;1;78;18;1;19;1;14;0;23;2;9;0;;80;34;;3;6;1;;;8;21;;1;10;1;1;;
241;1117;3867;539;447;1424;89;90;639;15;201;680;1651;319;2958;206;304;7563;912;2864;7;1284;386;574;3507;5536;4983;307;2923;23552;5654;114;5481;2937;8877;421;11665;7416;3662;13;3655;33659;5080;15;602;2609;738;132;174;9452;16844;5920;1555;5674;433;53;6;151
1;7;18;7;8;0;2;3;15;0;1;28;23;1;7;1;6;28;4;4;0;11;4;0;92;43;74;7;22;265;85;3;101;16;94;3;110;28;54;3;9;283;66;;7;21;21;2;15;29;169;49;21;23;2;;11;1
151;13;3835;0;127;17;36;29;409;0;1224;5;674;86;1046;146;71;111;352;39;0;0;15;5;1585;51;1713;24;199;296;4498;0;7328;1;3462;4;11508;55;1345;0;255;1733;3989;2;294;31;447;14;9;179;10200;7;720;56;82;1;;
233;41;351;7;54;17;12;4;425;2;9;114;429;40;88;5;169;945;686;59;41;13;17;33;304;718;537;6;819;282;969;6;1337;232;1122;16;902;821;1695;1;5285;1373;2893;3;364;893;268;7;648;22;6560;1593;918;511;226;5;1152;65
0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;0;1;0;0;2;5;7;;;;;;;;3;;4;;;;;
159;254;807;156;162;588;76;11;356;1;17;137;383;41;586;35;270;652;809;382;13;533;147;50;1462;604;317;19;522;1565;573;5;2641;283;1622;26;1783;580;1120;11;1110;2134;2397;7;547;629;137;17;30;348;4219;300;817;299;93;6;22;12
3;8;26;2;7;2;11;1;6;;0;5;7;2;4;0;9;16;33;3;0;4;3;;37;5;23;1;12;19;32;0;78;4;35;0;29;9;59;0;14;48;105;2;10;8;15;;5;12;81;3;21;;5;;;
7;114;51;81;63;87;8;2;129;6;4;24;127;28;46;2;20;120;33;59;0;86;138;81;100;46;6;10;2;57;13;12;17;90;95;8;20;63;32;3;29;92;19;1;218;199;55;;3;181;51;21;11;123;12;;1;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;4;;;;;;;;2;;;;;;1;;
